product_name,category,platform,price,rating,delivery_days,discount,popularity
iPhone Model 1,Mobiles,Amazon,637,3.9,2,3,2
Samsung Galaxy Model 2,Mobiles,Amazon,774,4.0,3,6,3
OnePlus Model 3,Mobiles,Amazon,911,4.1,4,9,4
Realme Model 4,Mobiles,Amazon,1048,4.2,5,12,5
Redmi Model 5,Mobiles,Amazon,1185,4.3,1,15,6
Vivo Model 6,Mobiles,Amazon,1322,4.4,2,18,7
Oppo Model 7,Mobiles,Amazon,1459,4.5,3,21,8
Nothing Model 8,Mobiles,Amazon,1596,4.6,4,24,9
Motorola Model 9,Mobiles,Amazon,1733,4.7,5,27,10
Google Pixel Model 10,Mobiles,Amazon,1870,4.8,1,30,1
iPhone Model 11,Mobiles,Amazon,2007,4.9,2,33,2
Samsung Galaxy Model 12,Mobiles,Amazon,2144,3.8,3,36,3
OnePlus Model 13,Mobiles,Amazon,2281,3.9,4,39,4
Realme Model 14,Mobiles,Amazon,2418,4.0,5,42,5
Redmi Model 15,Mobiles,Amazon,2555,4.1,1,45,6
Vivo Model 16,Mobiles,Amazon,2692,4.2,2,48,7
Oppo Model 17,Mobiles,Amazon,2829,4.3,3,1,8
Nothing Model 18,Mobiles,Amazon,2966,4.4,4,4,9
Motorola Model 19,Mobiles,Amazon,3103,4.5,5,7,10
Google Pixel Model 20,Mobiles,Amazon,3240,4.6,1,10,1
iPhone Model 21,Mobiles,Amazon,3377,4.7,2,13,2
Samsung Galaxy Model 22,Mobiles,Amazon,3514,4.8,3,16,3
OnePlus Model 23,Mobiles,Amazon,3651,4.9,4,19,4
Realme Model 24,Mobiles,Amazon,3788,3.8,5,22,5
Redmi Model 25,Mobiles,Amazon,3925,3.9,1,25,6
Vivo Model 26,Mobiles,Amazon,4062,4.0,2,28,7
Oppo Model 27,Mobiles,Amazon,4199,4.1,3,31,8
Nothing Model 28,Mobiles,Amazon,4336,4.2,4,34,9
Motorola Model 29,Mobiles,Amazon,4473,4.3,5,37,10
Google Pixel Model 30,Mobiles,Amazon,4610,4.4,1,40,1
iPhone Model 31,Mobiles,Amazon,4747,4.5,2,43,2
Samsung Galaxy Model 32,Mobiles,Amazon,4884,4.6,3,46,3
OnePlus Model 33,Mobiles,Amazon,5021,4.7,4,49,4
Realme Model 34,Mobiles,Amazon,5158,4.8,5,2,5
Redmi Model 35,Mobiles,Amazon,5295,4.9,1,5,6
Vivo Model 36,Mobiles,Amazon,5432,3.8,2,8,7
Oppo Model 37,Mobiles,Amazon,5569,3.9,3,11,8
Nothing Model 38,Mobiles,Amazon,5706,4.0,4,14,9
Motorola Model 39,Mobiles,Amazon,5843,4.1,5,17,10
